country	gdpPercap
Afghanistan	635.341351
Afghanistan	726.7340548
Afghanistan	974.5803384
Afghanistan	779.4453145
Afghanistan	820.8530296
Afghanistan	853.10071
Afghanistan	836.1971382
Afghanistan	739.9811058
Afghanistan	786.11336
Afghanistan	978.0114388
Afghanistan	852.3959448
Afghanistan	649.3413952
Albania	1601.056136
Albania	1942.284244
Albania	2312.888958
Albania	2760.196931
Albania	3313.422188
Albania	3533.00391
Albania	3630.880722
Albania	3738.932735
Albania	2497.437901
Albania	3193.054604
Albania	4604.211737
Albania	5937.029526
Algeria	2550.81688
Algeria	3246.991771
Algeria	4182.663766
Algeria	4910.416756
Algeria	5745.160213
Algeria	2449.008185
Algeria	3013.976023
Algeria	5681.358539
Algeria	5023.216647
Algeria	4797.295051
Algeria	5288.040382
Algeria	6223.367465
Angola	3520.610273
Angola	3827.940465
Angola	4269.276742
Angola	5522.776375
Angola	5473.288005
Angola	3008.647355
Angola	2756.953672
Angola	2430.208311
Angola	2627.845685
Angola	2277.140884
Angola	2773.287312
Angola	4797.231267
Argentina	5911.315053
Argentina	6856.856212
Argentina	7133.166023
Argentina	8052.953021
Argentina	9443.038526
Argentina	10079.02674
Argentina	8997.897412
Argentina	9139.671389
Argentina	9308.41871
Argentina	10967.28195
Argentina	8797.640716
Argentina	12779.37964
Australia	10039.59564
Australia	10949.64959
Australia	12217.22686
Australia	14526.12465
Australia	16788.62948
Australia	18334.19751
Australia	19477.00928
Australia	21888.88903
Australia	23424.76683
Australia	26997.93657
Australia	30687.75473
Australia	34435.36744
Austria	6137.076492
Austria	8842.59803
Austria	10750.72111
Austria	12834.6024
Austria	16661.6256
Austria	19749.4223
Austria	21597.08362
Austria	23687.82607
Austria	27042.01868
Austria	29095.92066
Austria	32417.60769
Austria	36126.4927
Bahrain	9867.084765
Bahrain	11635.79945
Bahrain	12753.27514
Bahrain	14804.6727
Bahrain	18268.65839
Bahrain	19340.10196
Bahrain	19211.14731
Bahrain	18524.02406
Bahrain	19035.57917
Bahrain	20292.01679
Bahrain	23403.55927
Bahrain	29796.04834
Bangladesh	684.2441716
Bangladesh	661.6374577
Bangladesh	686.3415538
Bangladesh	721.1860862
Bangladesh	630.2336265
Bangladesh	659.8772322
Bangladesh	676.9818656
Bangladesh	751.9794035
Bangladesh	837.8101643
Bangladesh	972.7700352
Bangladesh	1136.39043
Bangladesh	1391.253792
Belgium	8343.105127
Belgium	9714.960623
Belgium	10991.20676
Belgium	13149.04119
Belgium	16672.14356
Belgium	19117.97448
Belgium	20979.84589
Belgium	22525.56308
Belgium	25575.57069
Belgium	27561.19663
Belgium	30485.88375
Belgium	33692.60508
Benin	1062.7522
Benin	959.6010805
Benin	949.4990641
Benin	1035.831411
Benin	1085.796879
Benin	1029.161251
Benin	1277.897616
Benin	1225.85601
Benin	1191.207681
Benin	1232.975292
Benin	1372.877931
Benin	1441.284873
Bolivia	2677.326347
Bolivia	2127.686326
Bolivia	2180.972546
Bolivia	2586.886053
Bolivia	2980.331339
Bolivia	3548.097832
Bolivia	3156.510452
Bolivia	2753.69149
Bolivia	2961.699694
Bolivia	3326.143191
Bolivia	3413.26269
Bolivia	3822.137084
Bosnia and Herzegovina	973.5331948
Bosnia and Herzegovina	1353.989176
Bosnia and Herzegovina	1709.683679
Bosnia and Herzegovina	2172.352423
Bosnia and Herzegovina	2860.16975
Bosnia and Herzegovina	3528.481305
Bosnia and Herzegovina	4126.613157
Bosnia and Herzegovina	4314.114757
Bosnia and Herzegovina	2546.781445
Bosnia and Herzegovina	4766.355904
Bosnia and Herzegovina	6018.975239
Bosnia and Herzegovina	7446.298803
Botswana	851.2411407
Botswana	918.2325349
Botswana	983.6539764
Botswana	1214.709294
Botswana	2263.611114
Botswana	3214.857818
Botswana	4551.14215
Botswana	6205.88385
Botswana	7954.111645
Botswana	8647.142313
Botswana	11003.60508
Botswana	12569.85177
Brazil	2108.944355
Brazil	2487.365989
Brazil	3336.585802
Brazil	3429.864357
Brazil	4985.711467
Brazil	6660.118654
Brazil	7030.835878
Brazil	7807.095818
Brazil	6950.283021
Brazil	7957.980824
Brazil	8131.212843
Brazil	9065.800825
Bulgaria	2444.286648
Bulgaria	3008.670727
Bulgaria	4254.337839
Bulgaria	5577.0028
Bulgaria	6597.494398
Bulgaria	7612.240438
Bulgaria	8224.191647
Bulgaria	8239.854824
Bulgaria	6302.623438
Bulgaria	5970.38876
Bulgaria	7696.777725
Bulgaria	10680.79282
Burkina Faso	543.2552413
Burkina Faso	617.1834648
Burkina Faso	722.5120206
Burkina Faso	794.8265597
Burkina Faso	854.7359763
Burkina Faso	743.3870368
Burkina Faso	807.1985855
Burkina Faso	912.0631417
Burkina Faso	931.7527731
Burkina Faso	946.2949618
Burkina Faso	1037.645221
Burkina Faso	1217.032994
Burundi	339.2964587
Burundi	379.5646281
Burundi	355.2032273
Burundi	412.9775136
Burundi	464.0995039
Burundi	556.1032651
Burundi	559.603231
Burundi	621.8188189
Burundi	631.6998778
Burundi	463.1151478
Burundi	446.4035126
Burundi	430.0706916
Cambodia	368.4692856
Cambodia	434.0383364
Cambodia	496.9136476
Cambodia	523.4323142
Cambodia	421.6240257
Cambodia	524.9721832
Cambodia	624.4754784
Cambodia	683.8955732
Cambodia	682.3031755
Cambodia	734.28517
Cambodia	896.2260153
Cambodia	1713.778686
Cameroon	1172.667655
Cameroon	1313.048099
Cameroon	1399.607441
Cameroon	1508.453148
Cameroon	1684.146528
Cameroon	1783.432873
Cameroon	2367.983282
Cameroon	2602.664206
Cameroon	1793.163278
Cameroon	1694.337469
Cameroon	1934.011449
Cameroon	2042.09524
Canada	11367.16112
Canada	12489.95006
Canada	13462.48555
Canada	16076.58803
Canada	18970.57086
Canada	22090.88306
Canada	22898.79214
Canada	26626.51503
Canada	26342.88426
Canada	28954.92589
Canada	33328.96507
Canada	36319.23501
Central African Republic	1071.310713
Central African Republic	1190.844328
Central African Republic	1193.068753
Central African Republic	1136.056615
Central African Republic	1070.013275
Central African Republic	1109.374338
Central African Republic	956.7529907
Central African Republic	844.8763504
Central African Republic	747.9055252
Central African Republic	740.5063317
Central African Republic	738.6906068
Central African Republic	706.016537
Chad	1178.665927
Chad	1308.495577
Chad	1389.817618
Chad	1196.810565
Chad	1104.103987
Chad	1133.98495
Chad	797.9081006
Chad	952.386129
Chad	1058.0643
Chad	1004.961353
Chad	1156.18186
Chad	1704.063724
Chile	3939.978789
Chile	4315.622723
Chile	4519.094331
Chile	5106.654313
Chile	5494.024437
Chile	4756.763836
Chile	5095.665738
Chile	5547.063754
Chile	7596.125964
Chile	10118.05318
Chile	10778.78385
Chile	13171.63885
China	400.448610699994
China	575.9870009
China	487.6740183
China	612.7056934
China	676.9000921
China	741.2374699
China	962.4213805
China	1378.904018
China	1655.784158
China	2289.234136
China	3119.280896
China	4959.114854
Colombia	2144.115096
Colombia	2323.805581
Colombia	2492.351109
Colombia	2678.729839
Colombia	3264.660041
Colombia	3815.80787
Colombia	4397.575659
Colombia	4903.2191
Colombia	5444.648617
Colombia	6117.361746
Colombia	5755.259962
Colombia	7006.580419
Comoros	1102.990936
Comoros	1211.148548
Comoros	1406.648278
Comoros	1876.029643
Comoros	1937.577675
Comoros	1172.603047
Comoros	1267.100083
Comoros	1315.980812
Comoros	1246.90737
Comoros	1173.618235
Comoros	1075.811558
Comoros	986.1478792
Congo, Dem. Rep.	780.5423257
Congo, Dem. Rep.	905.8602303
Congo, Dem. Rep.	896.3146335
Congo, Dem. Rep.	861.5932424
Congo, Dem. Rep.	904.8960685
Congo, Dem. Rep.	795.757282
Congo, Dem. Rep.	673.7478181
Congo, Dem. Rep.	672.774812
Congo, Dem. Rep.	457.7191807
Congo, Dem. Rep.	312.188423
Congo, Dem. Rep.	241.1658765
Congo, Dem. Rep.	277.5518587
Congo, Rep.	2125.621418
Congo, Rep.	2315.056572
Congo, Rep.	2464.783157
Congo, Rep.	2677.939642
Congo, Rep.	3213.152683
Congo, Rep.	3259.178978
Congo, Rep.	4879.507522
Congo, Rep.	4201.194937
Congo, Rep.	4016.239529
Congo, Rep.	3484.164376
Congo, Rep.	3484.06197
Congo, Rep.	3632.557798
Costa Rica	2627.009471
Costa Rica	2990.010802
Costa Rica	3460.937025
Costa Rica	4161.727834
Costa Rica	5118.146939
Costa Rica	5926.876967
Costa Rica	5262.734751
Costa Rica	5629.915318
Costa Rica	6160.416317
Costa Rica	6677.045314
Costa Rica	7723.447195
Costa Rica	9645.06142
Cote d'Ivoire	1388.594732
Cote d'Ivoire	1500.895925
Cote d'Ivoire	1728.869428
Cote d'Ivoire	2052.050473
Cote d'Ivoire	2378.201111
Cote d'Ivoire	2517.736547
Cote d'Ivoire	2602.710169
Cote d'Ivoire	2156.956069
Cote d'Ivoire	1648.073791
Cote d'Ivoire	1786.265407
Cote d'Ivoire	1648.800823
Cote d'Ivoire	1544.750112
Croatia	3119.23652
Croatia	4338.231617
Croatia	5477.890018
Croatia	6960.297861
Croatia	9164.090127
Croatia	11305.38517
Croatia	13221.82184
Croatia	13822.58394
Croatia	8447.794873
Croatia	9875.604515
Croatia	11628.38895
Croatia	14619.22272
Cuba	5586.53878
Cuba	6092.174359
Cuba	5180.75591
Cuba	5690.268015
Cuba	5305.445256
Cuba	6380.494966
Cuba	7316.918107
Cuba	7532.924763
Cuba	5592.843963
Cuba	5431.990415
Cuba	6340.646683
Cuba	8948.102923
Czech Republic	6876.14025
Czech Republic	8256.343918
Czech Republic	10136.86713
Czech Republic	11399.44489
Czech Republic	13108.4536
Czech Republic	14800.16062
Czech Republic	15377.22855
Czech Republic	16310.4434
Czech Republic	14297.02122
Czech Republic	16048.51424
Czech Republic	17596.21022
Czech Republic	22833.30851
Denmark	9692.385245
Denmark	11099.65935
Denmark	13583.31351
Denmark	15937.21123
Denmark	18866.20721
Denmark	20422.9015
Denmark	21688.04048
Denmark	25116.17581
Denmark	26406.73985
Denmark	29804.34567
Denmark	32166.50006
Denmark	35278.41874
Djibouti	2669.529475
Djibouti	2864.969076
Djibouti	3020.989263
Djibouti	3020.050513
Djibouti	3694.212352
Djibouti	3081.761022
Djibouti	2879.468067
Djibouti	2880.102568
Djibouti	2377.156192
Djibouti	1895.016984
Djibouti	1908.260867
Djibouti	2082.481567
Dominican Republic	1397.717137
Dominican Republic	1544.402995
Dominican Republic	1662.137359
Dominican Republic	1653.723003
Dominican Republic	2189.874499
Dominican Republic	2681.9889
Dominican Republic	2861.092386
Dominican Republic	2899.842175
Dominican Republic	3044.214214
Dominican Republic	3614.101285
Dominican Republic	4563.808154
Dominican Republic	6025.374752
Ecuador	3522.110717
Ecuador	3780.546651
Ecuador	4086.114078
Ecuador	4579.074215
Ecuador	5280.99471
Ecuador	6679.62326
Ecuador	7213.791267
Ecuador	6481.776993
Ecuador	7103.702595
Ecuador	7429.455877
